ISO639-1 LANGUAGE CODE,LANGUAGE NAME IN ENGLISH,LANGUAGE NAME IN NATIVE FORM,
ab,Abkhaz,Аҧсуа бызшәа,аҧсшәа
aa,Afar,Qafár af
qu,Quechua,Qhichwa Simi,Runa Simi
rm,Romansh,Rumantsch
rn,Kirundi,Ikirundi
ro,Romanian,Română
ru,Russian,Pyccĸий
sa,Sanskrit,संस्कृतम्
sc,Sardinian,Sardu,Limba,Lingua Sarda
sd,Sindhi,سنڌي,सिन्धी,Sindhī
se,Northern Sami,Davvisámegiella
sm,Samoan,gagana fa'a Samoa
sg,Sango,yângâ tî sängö
sr,Serbian,српски,српски језик
gd,Gaelic,Gàidhlig
sn,Shona,chiShona
si,Sinhala,සිංහල
sk,Slovak,Slovenčina
sl,Slovene,Slovenščina
so,Somali,Soomaaliga
st,Southern Sotho,Sesotho
es,Spanish,Español
su,Sundanese,Basa Sunda
sw,Swahili,Kiswahili
ss,Swati,SiSwati
sv,Swedish,Svenska
ta,Tamil,தமிழ்
te,Telugu,తెలుగు
tg,Tajik,тоҷикӣ
th,Thai,ไทย
ti,Tigrinya,ትግርኛ
bo,Tibetan,བོད་ཡིག
tk,Turkmen,Türkmen
tl,Tagalog,Tagalog,Wikang Tagalog
tn,Tswana,Setswana
to,Tonga,faka Tonga
tr,Turkish,Tϋrkçe
ts,Tsonga,Xitsonga
tt,Tatar,татар теле
tw,Twi,Twi
ty,Tahitian,Reo Tahiti
ug,Uyghur,ئۇيغۇرچە
uk,Ukrainian,Українська
ur,Urdu,اردو
uz,Uzbek,O'zbek
ve,Venda,Tshivenḓa
vi,Vietnamese,Tiếng Việt
vo,Volapük,Volapük
wa,Walloon,walon
cy,Welsh,Cymraeg
wo,Wolof,Wollof
fy,Western Frisian,Frysk
xh,Xhosa,isiXhosa
yi,Yiddish,ייִדיש
yo,Yoruba,Yorùbá
za,Zhuang,Saɯ cueŋƅ
zu,Zulu,isiZulu
zh-Hans,Chinese (Simplified),简体中文
